Feature,Importance,Abs_Importance
Likes,406143.37771956297,406143.37771956297
Subscribers,64633.86186735328,64633.86186735328
Watch time (hours),-19675.03437849228,19675.03437849228
Comments added,6439.286718527287,6439.286718527287
Average percentage viewed (%),5761.33440910691,5761.33440910691
Impressions click-through rate (%),-2985.896448406322,2985.896448406322
Duration,1423.1685576417613,1423.1685576417613
Stayed to watch (%),-817.9069016224703,817.9069016224703
