Metric,t-statistic,p-value,Significant,Higher in
Engaged views,19.659103847248073,5.278716623651637e-82,Yes,Jan-Mar
Engagement Rate,,,No,April
Virality Score,,,No,April
Growth Potential,-1.2382214706161,0.21569269948237066,No,April
