,t_statistic,p_value,significant,higher_in
Engaged views,19.659103847248073,5.278716623651637e-82,True,Jan-Mar
Engagement Rate,,,False,April
Virality Score,,,False,April
Growth Potential,10.069380764619218,1.296990018784445e-23,True,Jan-Mar
