Video Type,Time Period,Engaged views,Views,Comments added,Likes,Watch time (hours),Subscribers,Stayed to watch (%),Average percentage viewed (%),Comments to Views Ratio,Likes to Views Ratio,Engaged Views Ratio,Subscribers Gained per 1000 Views,Comments to Likes Ratio,Engagement Rate,Swipe Away Ratio,Retention Efficiency,Completion Rate,Views per Impression,Engaged Views per Impression,Watch Time per View (seconds),Watch Time Efficiency,Virality Score,Growth Potential,Impressions click-through rate (%)
Long,April,25541.180952380953,25544.35873015873,63.00952380952381,1025.1079365079365,5928.067410793651,108.86349206349206,75.11605,47.86412698412698,0.23382970384590646,3.1142211119773715,99.9839916042908,2.6191812980004205,,3.3480508158232785,24.88395,0.04931028903897951,0.4786412698412698,,,609.1816044809947,13053.82111168354,50.973028076507795,10.428470678081496,4.282820512820513
Long,Jan-Mar,19609.868055555555,19609.868055555555,25.520833333333332,610.8333333333334,2669.3088743055555,65.04861111111111,72.66543103448276,51.15229166666667,0.11553263872206555,2.7091915457531477,100.0,1.92555240518026,4.331683842978541,2.824724184475213,27.334568965517242,0.07548092572893665,0.5115229166666667,18.5076640776976,18.5076640776976,392.10883311914864,10455.218090549635,50.835863991470355,6.7881912706629,5.055555555555555
Shorts,Jan-Mar,315303.3606048856,318734.64443582785,150.64831329972858,29834.676231097324,7153.1321020550595,130.34160527336178,78.29121212121213,83.54224857268336,0.07402287022946775,,98.68022456764363,0.4078814689622432,0.8590608406049796,,21.70878787878788,1.119117432842471,0.8354224857268335,,,74.41477155574167,271200.6166000307,,3.4142014378455916,6.515144991212654
Shorts,April,87279.5597416577,148657.66092572658,48.3735199138859,8441.471474703983,2785.358142985289,49.5410836024399,77.71792673421669,78.83508190327613,0.0682599214213369,,56.936607779718884,0.2623464925958779,,,22.28207326578332,0.8649556804981293,0.7883508190327613,,,51.82624494145949,71262.82313661986,,1.1611029095997427,7.801212948517941
