View Bucket,Engaged views,Views,Comments added,Likes,Watch time (hours),Subscribers,Stayed to watch (%),Average percentage viewed (%),Comments to Views Ratio,Likes to Views Ratio,Engaged Views Ratio,Subscribers Gained per 1000 Views,Comments to Likes Ratio,Engagement Rate,Swipe Away Ratio,Retention Efficiency,Completion Rate,Views per Impression,Engaged Views per Impression,Watch Time per View (seconds),Watch Time Efficiency,Virality Score,Growth Potential,Impressions click-through rate (%)
5M plus,6578739.333333333,6617347.666666667,5078.666666666667,480553.6666666667,100444.93743333333,4804.666666666667,78.99,91.15333333333335,0.07801216232300588,7.272660247132424,99.41569006986963,0.7033477825405505,1.0952304373680186,7.35067240945543,21.01,1.5109681238615664,0.9115333333333334,728.4572114199653,723.7313058375729,54.674951155684425,5993907.917016394,51.90524554153914,5.139296647429625,10.153333333333334
1M to 5M,1652650.6812749004,1879960.498007968,732.4780876494024,153622.83665338645,41958.38600876494,888.1195219123506,82.22665338645417,85.19095617529881,0.04140773899265284,8.707925920966353,92.33712033296813,0.4635193216710013,0.4804669621810322,8.749333659959007,17.773346613545815,0.9963683197234414,0.851909561752988,1174.8523598546378,1035.801722410514,82.50376193616482,1407331.1175987434,48.7892194905725,4.107372240556833,10.205458167330677
500K to 1M,698502.3595800526,799228.031496063,318.8635170603674,68842.86351706037,17584.59063569554,288.6036745406824,83.0170341207349,85.61456692913386,0.04149982731603023,8.988489617994752,91.25435499900237,0.3591618387260707,0.45886638950363834,9.029989445310783,16.98296587926509,1.0059638815142042,0.8561456692913386,1047.6630872862493,893.0646609803579,79.85468861367366,597614.6544731811,48.33202435036282,3.2413893621920176,9.773018372703412
100K to 500K,238679.98839137645,284779.6393034826,124.25207296849088,23135.641791044774,6506.174367412936,99.48258706467662,82.87802653399667,83.65077943615256,0.04932733836960213,8.413293584457692,87.83469105947678,0.38401537554268006,0.6470586076020793,8.462620922827295,17.121973466003315,0.9752326056351815,0.8365077943615257,715.2659135420951,579.9826570394807,89.06985669531603,201315.11851703652,46.45119907274962,2.8330926818713924,8.16896351575456
Under 100K,19768.019327309237,26988.852911646587,19.186495983935743,1694.0692771084337,773.940142620482,12.70456827309237,74.95160940325498,75.06319745591212,0.10057868421687648,,72.96555396090218,0.5738641378628314,,,25.048390596745026,0.8610449956220428,0.7506319745591212,,,113.2997912867436,15550.78634394987,,2.6927127167672746,5.999334298118669
